location,period,sex,total_prob,prob_cancer,prob_card,prob_resp,prob_diab
Estonia,2010,Male,28.6,12.822,12.2375,2.8572,0.6833
Estonia,2015,Both sexes,16.9,6.8903,7.2279,2.2467,0.5351
Estonia,2015,Female,10.4,4.3172,4.2949,1.603,0.1849
Estonia,2015,Male,24.9,10.9086,10.9979,2.3059,0.6876
Estonia,2020,Both sexes,17.0,7.3125,7.5027,1.53,0.6548
Estonia,2020,Female,10.3,4.3185,4.2953,1.3601,0.3261
Estonia,2020,Male,25.0,10.3605,11.2014,2.7986,0.6395
Estonia,2025,Both sexes,17.3773,7.4514,7.695,1.5595,0.6714
Estonia,2025,Female,10.5199,4.4443,4.3594,1.3853,0.3309
Estonia,2025,Male,25.672,10.642,11.5219,2.8543,0.6538
Eswatini,2000,Both sexes,27.2,12.0815,11.4897,2.8014,0.8274
Eswatini,2000,Female,24.9,10.5537,10.8162,2.5613,0.9688
Eswatini,2000,Male,29.8,12.8536,13.3003,3.3253,0.3208
Eswatini,2005,Both sexes,27.3,11.7029,12.225,2.8802,0.4919
Eswatini,2005,Female,25.1,11.1029,11.1608,2.5225,0.3138
Eswatini,2005,Male,30.1,12.2044,13.3252,3.7406,0.8298
Eswatini,2010,Both sexes,26.6,11.1541,11.32,3.3361,0.7898
Eswatini,2010,Female,24.3,10.2152,10.7254,2.3732,0.9862
Eswatini,2010,Male,29.6,12.6944,13.1211,2.664,1.1205
Eswatini,2015,Both sexes,26.6,11.2554,11.9447,2.6196,0.7803
Eswatini,2015,Female,24.4,10.1087,10.0079,3.2959,0.9875
Eswatini,2015,Male,29.8,13.2067,12.7972,3.0507,0.7454
Eswatini,2020,Both sexes,26.7,11.8414,10.8544,2.8929,1.1113
Eswatini,2020,Female,24.4,10.8301,10.9117,2.269,0.3892
Eswatini,2020,Male,29.8,12.106,13.1034,3.9639,0.6267
Eswatini,2025,Both sexes,27.2657,12.078,11.0882,2.9771,1.1224
Eswatini,2025,Female,24.9814,11.0648,11.2007,2.3151,0.4008
Eswatini,2025,Male,30.4221,12.4526,13.3064,4.0206,0.6425
Ethiopia,2000,Both sexes,21.7,9.247,9.005,3.1643,0.2837
Ethiopia,2000,Female,21.8,8.7747,8.7995,3.6565,0.5693
Ethiopia,2000,Male,21.5,9.1382,9.4541,2.0846,0.8231
Ethiopia,2005,Both sexes,20.4,8.5757,8.5752,2.9912,0.2579
Ethiopia,2005,Female,20.3,9.0819,8.1934,2.0461,0.9786
Ethiopia,2005,Male,20.6,8.5993,8.3543,2.7744,0.872
Ethiopia,2010,Both sexes,18.9,8.272,8.2866,1.701,0.6404
Ethiopia,2010,Female,18.6,7.5224,7.8935,2.9403,0.2438
Ethiopia,2010,Male,19.2,8.4155,8.4921,1.728,0.5644
Ethiopia,2015,Both sexes,18.4,8.278,7.9827,1.656,0.4833
Ethiopia,2015,Female,18.1,7.9949,7.9101,1.9105,0.2845
Ethiopia,2015,Male,18.8,7.7969,7.5335,2.7267,0.7429
Ethiopia,2020,Both sexes,18.3,7.9537,7.443,2.5012,0.4021
Ethiopia,2020,Female,18.0,7.3896,8.0617,2.3623,0.1864
Ethiopia,2020,Male,18.7,7.8154,8.2321,2.2569,0.3956
Ethiopia,2025,Both sexes,18.6127,8.1189,7.5182,2.563,0.4126
Ethiopia,2025,Female,18.3128,7.4944,8.197,2.4298,0.1916
Ethiopia,2025,Male,19.0798,7.9646,8.4074,2.3046,0.4032
Fiji,2000,Both sexes,36.4,14.6589,15.9225,4.9922,0.8264
Fiji,2000,Female,30.1,12.4556,13.104,4.1639,0.3765
Fiji,2000,Male,42.5,17.0003,18.0861,6.9089,0.5047
Fiji,2005,Both sexes,35.6,15.2235,15.1659,4.6512,0.5594
Fiji,2005,Female,28.5,11.8051,11.5907,4.1015,1.0027
Fiji,2005,Male,42.1,18.4721,17.4113,4.9591,1.2575
Fiji,2010,Both sexes,32.9,13.8992,14.1237,3.7259,1.1512
Fiji,2010,Female,26.0,11.3281,11.4693,2.34,0.8626
Fiji,2010,Male,39.2,15.8207,17.0179,5.59,0.7714
Fiji,2015,Both sexes,30.8,12.6681,13.3063,3.3115,1.5141
Fiji,2015,Female,24.2,9.8287,10.7553,2.887,0.729
Fiji,2015,Male,37.0,15.9165,15.462,4.2928,1.3287
Fiji,2020,Both sexes,30.6,12.6918,12.5955,4.6627,0.65
Fiji,2020,Female,24.0,10.6873,9.9858,2.6295,0.6974
Fiji,2020,Male,36.8,16.1984,16.4298,3.312,0.8598
Fiji,2025,Both sexes,31.0288,12.8197,12.8027,4.7446,0.6618
Fiji,2025,Female,24.5303,10.9031,10.2557,2.6605,0.711
Fiji,2025,Male,37.4978,16.4386,16.806,3.3758,0.8774
Finland,2000,Both sexes,14.6,6.5385,6.2053,1.4575,0.3987
Finland,2000,Female,9.7,4.0594,3.9054,1.3404,0.3948
Finland,2000,Male,19.7,8.3308,8.0857,2.7959,0.4876
Finland,2005,Both sexes,12.9,5.6509,5.7732,1.161,0.3149
Finland,2005,Female,8.4,3.6305,3.3802,1.1842,0.2051
Finland,2005,Male,17.5,7.2608,7.0922,2.4247,0.7223
Finland,2010,Both sexes,11.8,5.0114,4.9487,1.4233,0.4166
Finland,2010,Female,7.9,3.4417,3.4232,0.711,0.3241
Finland,2010,Male,15.7,6.8325,6.2834,2.3222,0.2619
Finland,2015,Both sexes,10.5,4.3645,4.6142,1.0417,0.4796
Finland,2015,Female,7.2,3.2271,2.9121,0.7909,0.2699
Finland,2015,Male,13.8,5.8193,6.1479,1.4865,0.3463
Finland,2020,Both sexes,10.2,4.5081,4.0819,1.4073,0.2027
Finland,2020,Female,7.2,3.0097,2.9773,0.8983,0.3147
Finland,2020,Male,13.3,5.8127,5.5303,1.7698,0.1872
Finland,2025,Both sexes,10.4049,4.5874,4.1725,1.4385,0.2065
Finland,2025,Female,7.353,3.0988,3.0228,0.9102,0.3212
Finland,2025,Male,13.5927,5.923,5.68,1.7977,0.192
France,2000,Both sexes,13.8,5.9306,5.5268,1.9483,0.3943
France,2000,Female,8.6,3.5741,3.7728,0.9012,0.3519
France,2000,Male,19.0,8.5153,8.0931,1.71,0.6816
France,2005,Both sexes,12.6,5.0493,5.2788,1.9759,0.296
France,2005,Female,8.2,3.4821,3.4458,1.016,0.2561
France,2005,Male,17.0,6.8164,6.9057,2.8266,0.4513
France,2010,Both sexes,11.8,4.8375,5.2452,1.4636,0.2537
France,2010,Female,7.9,3.3638,3.2657,0.9275,0.343
France,2010,Male,15.7,6.5687,6.3256,2.5787,0.227
France,2015,Both sexes,10.8,4.6482,4.4795,1.5053,0.167
France,2015,Female,7.3,3.1554,3.0642,0.7992,0.2812
France,2015,Male,14.3,6.1859,6.2481,1.5424,0.3236
France,2020,Both sexes,10.6,4.4607,4.6758,0.9969,0.4666
France,2020,Female,7.2,3.1969,2.9577,0.7783,0.2671
France,2020,Male,14.1,5.7895,6.1034,1.7997,0.4074
France,2025,Both sexes,10.7996,4.5366,4.7711,1.0177,0.4742
France,2025,Female,7.2827,3.2374,2.988,0.7873,0.27
France,2025,Male,14.3697,5.8998,6.2194,1.8369,0.4136
Gabon,2000,Both sexes,17.1,7.6876,7.3055,1.539,0.5679
Gabon,2000,Female,16.9,6.9255,6.879,2.5058,0.5897
Gabon,2000,Male,17.4,7.0258,7.2781,2.7652,0.3309
Gabon,2005,Both sexes,15.1,6.2123,6.2262,2.2181,0.4434
Gabon,2005,Female,15.2,6.8079,6.7965,1.368,0.2276
Gabon,2005,Male,15.0,6.5606,6.3554,1.8994,0.1846
Gabon,2010,Both sexes,15.1,6.6795,6.0578,1.6689,0.6938
Gabon,2010,Female,14.9,6.2565,6.1857,2.2697,0.1881
Gabon,2010,Male,15.4,6.7631,6.7609,1.4399,0.4361
Gabon,2015,Both sexes,14.8,6.137,6.4921,1.7162,0.4547
Gabon,2015,Female,14.3,5.9344,6.1822,1.4832,0.7002
Gabon,2015,Male,15.3,6.3863,6.4044,2.3555,0.1538
Gabon,2020,Both sexes,14.4,6.1353,6.4627,1.5856,0.2164
Gabon,2020,Female,13.9,5.6435,5.7446,2.3631,0.1488
Gabon,2020,Male,14.9,5.9726,6.5338,1.7635,0.6301
Gabon,2025,Both sexes,14.6465,6.2025,6.5993,1.6236,0.2211
Gabon,2025,Female,14.1808,5.7643,5.8701,2.3957,0.1507
Gabon,2025,Male,15.253,6.125,6.6856,1.8031,0.6393
Gambia,2000,Both sexes,23.1,10.2144,10.3733,2.079,0.4333
Gambia,2000,Female,21.4,8.7707,9.578,1.9857,1.0656
Gambia,2000,Male,24.6,10.8902,10.1376,2.381,1.1912
Gambia,2005,Both sexes,22.1,9.7317,9.3479,2.3162,0.7042
Gambia,2005,Female,20.1,8.4878,8.2502,3.1208,0.2412
Gambia,2005,Male,23.8,10.0351,9.5722,3.7969,0.3958
Gambia,2010,Both sexes,21.1,8.9123,8.5817,2.5865,1.0195
Gambia,2010,Female,19.3,8.3758,7.7936,2.7255,0.4051
Gambia,2010,Male,22.7,9.6812,9.3545,2.9827,0.6816
Gambia,2015,Both sexes,20.6,9.185,8.5392,2.2825,0.5933
Gambia,2015,Female,19.1,7.7807,7.6475,2.9988,0.673
Gambia,2015,Male,22.1,9.8236,9.622,2.3784,0.276
Gambia,2020,Both sexes,20.4,8.9569,8.7499,2.3693,0.3239
Gambia,2020,Female,18.9,8.1971,7.8056,2.4474,0.4499
Gambia,2020,Male,21.9,9.6482,9.4564,2.2364,0.559
Gambia,2025,Both sexes,20.8955,9.1827,8.9662,2.4152,0.3314
Gambia,2025,Female,19.2259,8.3728,7.8941,2.4978,0.4612
Gambia,2025,Male,22.2958,9.7736,9.659,2.291,0.5722
Georgia,2000,Both sexes,24.7,10.7801,9.9978,3.2515,0.6706
Georgia,2000,Female,17.8,7.2255,7.3771,2.7362,0.4612
Georgia,2000,Male,32.3,12.9671,13.6966,4.4574,1.1789
Georgia,2005,Both sexes,23.0,9.2139,9.2104,4.0172,0.5585
Georgia,2005,Female,16.7,6.8654,6.9486,2.1525,0.7335
Georgia,2005,Male,30.1,13.4339,12.3842,3.2171,1.0648
Georgia,2010,Both sexes,25.0,10.5961,10.8979,3.0086,0.4974
Georgia,2010,Female,16.7,7.1518,7.3243,1.7236,0.5003
Georgia,2010,Male,34.3,14.8187,14.8632,4.0519,0.5662
Georgia,2015,Both sexes,24.9,10.1967,10.9468,2.6033,1.1532
Georgia,2015,Female,16.1,7.2267,7.0496,1.5585,0.2652
Georgia,2015,Male,34.7,15.5173,15.5458,3.123,0.5139
Georgia,2020,Both sexes,24.9,10.8461,11.1815,2.241,0.6314
Georgia,2020,Female,15.9,6.4181,6.8548,1.8441,0.783
Georgia,2020,Male,34.9,14.4129,14.7226,4.5869,1.1776
Georgia,2025,Both sexes,25.2542,11.0096,11.3194,2.2811,0.6441
Georgia,2025,Female,16.1354,6.4838,6.961,1.8851,0.8055
Georgia,2025,Male,35.541,14.6228,15.0455,4.6623,1.2104
Germany,2000,Both sexes,16.1,7.2019,7.1585,1.449,0.2906
Germany,2000,Female,11.2,4.5946,4.811,1.599,0.1954
Germany,2000,Male,21.1,9.2633,8.9425,2.2633,0.6309
Germany,2005,Both sexes,14.1,6.3101,6.05,1.3526,0.3873
Germany,2005,Female,10.0,4.1412,4.1765,1.2246,0.4577
Germany,2005,Male,18.2,7.8079,7.7502,1.9075,0.7344
Germany,2010,Both sexes,13.1,5.8414,5.3067,1.5558,0.3961
Germany,2010,Female,9.4,3.8424,4.1674,1.1901,0.2001
Germany,2010,Male,16.7,6.8644,6.7125,2.932,0.1911
Germany,2015,Both sexes,12.5,5.3607,5.2232,1.3973,0.5188
Germany,2015,Female,9.1,3.9388,3.7494,1.2511,0.1607
Germany,2015,Male,16.0,6.6008,6.8513,2.1584,0.3895
Germany,2020,Both sexes,12.1,5.3963,5.4409,1.12,0.1428
Germany,2020,Female,8.9,3.8956,3.9687,0.801,0.2347
Germany,2020,Male,15.2,6.6584,6.3625,1.7885,0.3906
Germany,2025,Both sexes,12.267,5.4643,5.504,1.1522,0.1465
Germany,2025,Female,9.0448,3.9437,4.0524,0.8102,0.2385
Germany,2025,Male,15.4769,6.7662,6.4808,1.8304,0.3995
Ghana,2000,Both sexes,21.6,9.4412,9.5563,2.0213,0.5812
Ghana,2000,Female,24.4,10.7565,9.9816,3.0559,0.606
Ghana,2000,Male,18.3,7.5972,7.6176,2.3805,0.7047
Ghana,2005,Both sexes,20.3,8.3495,8.4288,3.0719,0.4498
Ghana,2005,Female,23.1,10.3567,9.4991,2.4006,0.8436
Ghana,2005,Male,17.1,7.037,6.8413,2.5519,0.6698
Ghana,2010,Both sexes,20.4,8.5937,8.1983,3.2996,0.3084
Ghana,2010,Female,23.0,9.8009,9.2628,2.8111,1.1252
Ghana,2010,Male,17.6,7.7137,7.04,2.377,0.4693
Ghana,2015,Both sexes,20.9,9.2334,8.7071,2.1706,0.7889
Ghana,2015,Female,23.3,10.3404,9.948,2.5153,0.4963
Ghana,2015,Male,18.2,7.9817,7.8757,2.0502,0.2924
Ghana,2020,Both sexes,20.8,8.6648,9.2092,2.5457,0.3803
Ghana,2020,Female,23.2,9.868,9.7549,2.5926,0.9845
Ghana,2020,Male,18.2,7.3448,7.3428,2.6456,0.8668
Ghana,2025,Both sexes,21.2703,8.9223,9.3618,2.5946,0.3916
Ghana,2025,Female,23.5921,9.9924,9.978,2.6234,0.9983
Ghana,2025,Male,18.585,7.4636,7.522,2.7192,0.8802
Greece,2000,Both sexes,14.9,6.2173,6.21,1.7405,0.7322
Greece,2000,Female,9.6,4.1098,4.2946,0.909,0.2866
Greece,2000,Male,20.4,9.0337,8.8752,1.836,0.6551
Greece,2005,Both sexes,13.6,5.9257,5.754,1.2833,0.637
Greece,2005,Female,8.7,3.5992,3.8311,1.1148,0.1549
Greece,2005,Male,18.6,8.086,8.118,1.674,0.722
Greece,2010,Both sexes,12.9,5.6208,5.6496,1.4477,0.1819
Greece,2010,Female,8.4,3.7518,3.7076,0.756,0.1846
Greece,2010,Male,17.4,7.4071,7.4027,2.1592,0.431
Greece,2015,Both sexes,12.3,5.3562,5.0229,1.4138,0.5071
Greece,2015,Female,7.7,3.1822,3.3116,1.0379,0.1683
Greece,2015,Male,17.1,7.3391,7.6541,1.9067,0.2001
Greece,2020,Both sexes,12.4,5.5192,5.4601,1.116,0.3047
Greece,2020,Female,7.7,3.3345,3.1102,1.0106,0.2447
Greece,2020,Male,17.3,7.5724,7.2601,1.8857,0.5818
Greece,2025,Both sexes,12.607,5.5964,5.551,1.1492,0.3104
Greece,2025,Female,7.828,3.3721,3.1817,1.0223,0.2519
Greece,2025,Male,17.7081,7.7371,7.4423,1.9404,0.5883
Grenada,2000,Both sexes,26.8,11.9342,10.7363,3.139,0.9905
Grenada,2000,Female,23.5,9.7605,9.8147,3.1058,0.819
Grenada,2000,Male,30.6,12.3193,13.0798,4.5429,0.658
Grenada,2005,Both sexes,25.4,10.5534,10.5284,3.1789,1.1393
Grenada,2005,Female,21.5,9.2717,9.2146,2.0824,0.9313
Grenada,2005,Male,29.7,12.879,13.0631,3.1634,0.5945
Grenada,2010,Both sexes,23.9,10.4186,10.5909,2.4802,0.4103
Grenada,2010,Female,20.0,8.1317,8.8653,2.6772,0.3258
Grenada,2010,Male,28.0,12.32,11.9738,2.9821,0.7241
Grenada,2015,Both sexes,21.7,9.7327,9.1549,2.3915,0.4209
Grenada,2015,Female,17.9,8.0255,7.2062,2.1278,0.5405
Grenada,2015,Male,25.5,11.0987,11.2418,2.3471,0.8124
Grenada,2020,Both sexes,21.4,8.9672,8.7344,2.8114,0.887
Grenada,2020,Female,17.3,7.6457,6.9299,2.0644,0.66
Grenada,2020,Male,25.5,11.1364,10.6901,3.3928,0.2807
Grenada,2025,Both sexes,21.9429,9.2115,8.9331,2.892,0.9063
Grenada,2025,Female,17.5559,7.7599,7.0008,2.1199,0.6753
Grenada,2025,Male,26.1152,11.4619,10.9153,3.4514,0.2866
Guatemala,2000,Both sexes,15.0,6.3623,6.2014,2.1138,0.3225
Guatemala,2000,Female,15.1,6.0981,6.0971,2.1792,0.7256
Guatemala,2000,Male,14.8,6.406,6.6367,1.332,0.4253
Guatemala,2005,Both sexes,15.1,6.1255,6.3447,2.0331,0.5967
Guatemala,2005,Female,14.6,6.1303,6.0329,2.1709,0.2659
Guatemala,2005,Male,15.6,6.7896,6.5697,1.8685,0.3722
Guatemala,2010,Both sexes,14.9,6.0355,6.167,2.3838,0.3137
Guatemala,2010,Female,15.1,6.4316,6.1754,1.7557,0.7373
Guatemala,2010,Male,14.8,6.2397,6.6455,1.7269,0.1879
Guatemala,2015,Both sexes,14.9,6.0022,6.2386,1.9474,0.7118
Guatemala,2015,Female,14.9,6.1082,6.2717,1.9235,0.5966
Guatemala,2015,Male,14.9,6.4381,6.4603,1.4758,0.5258
Guatemala,2020,Both sexes,14.9,6.2089,6.5059,1.7952,0.39
Guatemala,2020,Female,15.0,6.3246,6.5141,1.8119,0.3494
Guatemala,2020,Male,14.9,6.0109,6.5439,2.0259,0.3193
Guatemala,2025,Both sexes,15.2145,6.3269,6.6616,1.8282,0.3978
Guatemala,2025,Female,15.3811,6.4689,6.702,1.853,0.3572
Guatemala,2025,Male,15.119,6.0737,6.6586,2.064,0.3227
Guinea,2000,Both sexes,22.4,10.0542,9.0741,3.0402,0.2315
Guinea,2000,Female,23.2,10.3409,9.7835,2.6036,0.472
Guinea,2000,Male,21.5,9.0661,8.6996,2.8757,0.8586
Guinea,2005,Both sexes,23.3,9.3379,9.9991,3.4941,0.4689
Guinea,2005,Female,23.6,10.431,9.6625,2.6358,0.8707
Guinea,2005,Male,22.9,9.6755,10.2564,2.3735,0.5946
Guinea,2010,Both sexes,23.1,9.4188,10.3312,2.4384,0.9116
Guinea,2010,Female,23.3,10.1368,10.1123,2.4374,0.6135
Guinea,2010,Male,22.9,10.171,9.392,2.5697,0.7673
Guinea,2015,Both sexes,22.6,9.8039,9.8385,2.1802,0.7774
Guinea,2015,Female,23.2,10.2847,10.3782,2.2068,0.3303
Guinea,2015,Male,22.0,9.1442,9.0982,3.0116,0.746
Guinea,2020,Both sexes,22.4,9.293,9.0631,3.2832,0.7607
Guinea,2020,Female,22.9,9.1773,10.2649,2.9989,0.4589
Guinea,2020,Male,21.8,9.3998,9.4269,2.5222,0.4511
Guinea,2025,Both sexes,22.911,9.4629,9.302,3.3669,0.7792
Guinea,2025,Female,23.2612,9.307,10.4193,3.0645,0.4704
Guinea,2025,Male,22.1851,9.5446,9.632,2.5491,0.4594
Guinea-Bissau,2000,Both sexes,23.4,10.4373,10.0438,2.181,0.7379
Guinea-Bissau,2000,Female,23.2,10.0531,10.1934,2.2999,0.6536
Guinea-Bissau,2000,Male,23.6,9.7572,9.8748,2.8868,1.0812
Guinea-Bissau,2005,Both sexes,22.3,9.96,9.5268,2.4115,0.4017
Guinea-Bissau,2005,Female,22.3,9.5014,8.9963,3.2482,0.5541
Guinea-Bissau,2005,Male,22.4,9.6508,9.792,2.072,0.8852
Guinea-Bissau,2010,Both sexes,21.5,9.0934,9.3877,2.2822,0.7367
Guinea-Bissau,2010,Female,21.0,9.2804,9.2453,1.89,0.5843
Guinea-Bissau,2010,Male,22.0,9.5402,8.8893,2.5133,1.0572
Guinea-Bissau,2015,Both sexes,19.8,8.1173,8.7887,2.111,0.783
Guinea-Bissau,2015,Female,19.7,8.1467,8.1238,3.1831,0.2464
Guinea-Bissau,2015,Male,20.0,8.0137,8.2484,3.3664,0.3715
Guinea-Bissau,2020,Both sexes,20.0,8.4344,8.7234,2.6349,0.2073
Guinea-Bissau,2020,Female,19.9,8.2008,8.6705,2.757,0.2717
Guinea-Bissau,2020,Male,20.2,8.6753,8.6994,2.108,0.7173
Guinea-Bissau,2025,Both sexes,20.3567,8.6291,8.8462,2.6711,0.2103
Guinea-Bissau,2025,Female,20.2312,8.3123,8.8398,2.8038,0.2753
Guinea-Bissau,2025,Male,20.5512,8.8343,8.8456,2.1437,0.7276
Guyana,2000,Both sexes,32.7,13.6635,13.6584,3.9673,1.4108
Guyana,2000,Female,31.8,14.235,13.2395,3.5567,0.7688
Guyana,2000,Male,33.7,14.81,13.9986,3.3226,1.5688
Guyana,2005,Both sexes,31.3,13.8998,13.7941,2.817,0.7891
Guyana,2005,Female,30.6,12.6224,13.028,3.9881,0.9615
Guyana,2005,Male,32.0,12.9767,13.2627,5.0441,0.7165
Guyana,2010,Both sexes,31.2,13.6725,13.1191,3.2787,1.1297
Guyana,2010,Female,30.0,12.1057,12.2785,4.5187,1.0971
Guyana,2010,Male,32.5,13.4229,13.2592,5.2843,0.5336
Guyana,2015,Both sexes,30.6,12.6873,12.9192,4.6606,0.3329
Guyana,2015,Female,28.9,12.2696,12.8997,3.3199,0.4108
Guyana,2015,Male,32.3,13.4062,13.7317,4.7665,0.3956
Guyana,2020,Both sexes,30.5,13.1611,12.5788,3.5944,1.1657
Guyana,2020,Female,28.8,12.8682,11.6122,3.0815,1.2381
Guyana,2020,Male,32.4,13.6527,13.6769,3.9048,1.1656
Guyana,2025,Both sexes,31.1033,13.4741,12.7791,3.6641,1.186
Guyana,2025,Female,29.3745,13.2179,11.7667,3.1189,1.271
Guyana,2025,Male,33.0649,13.9435,13.9545,3.9699,1.197
Haiti,2000,Both sexes,29.1,12.5243,11.997,4.2205,0.3582
Haiti,2000,Female,27.9,12.499,12.0197,2.511,0.8703
Haiti,2000,Male,30.4,12.7544,12.516,4.5587,0.5709
Haiti,2005,Both sexes,23.4,9.4578,9.3824,4.1707,0.3891
Haiti,2005,Female,23.1,9.3617,9.4968,3.5307,0.7108
Haiti,2005,Male,23.7,10.5357,9.7662,2.8253,0.5728
Haiti,2010,Both sexes,22.3,9.6938,9.176,3.1024,0.3278
Haiti,2010,Female,21.9,9.562,9.3239,2.6538,0.3603
Haiti,2010,Male,22.7,9.2676,9.0823,3.4705,0.8796
Haiti,2015,Both sexes,26.7,11.5837,11.7986,2.403,0.9147
Haiti,2015,Female,25.1,10.2413,10.8854,3.5423,0.431
Haiti,2015,Male,28.5,12.4664,12.0259,3.0267,0.981
Haiti,2020,Both sexes,26.5,11.27,11.847,2.385,0.998
Haiti,2020,Female,25.0,10.6289,10.2423,3.0199,1.1089
Haiti,2020,Male,28.2,11.4246,11.8338,4.0354,0.9062
Haiti,2025,Both sexes,27.0377,11.4092,12.1971,2.4158,1.0156
Haiti,2025,Female,25.6285,10.8784,10.5356,3.0785,1.136
Haiti,2025,Male,28.7005,11.7184,11.9777,4.0785,0.9259
Honduras,2000,Both sexes,16.6,7.34,7.0426,1.8299,0.3875
Honduras,2000,Female,15.0,6.6412,6.6619,1.35,0.3469
Honduras,2000,Male,18.4,8.0882,7.7752,2.2176,0.319
Honduras,2005,Both sexes,15.7,6.7201,6.7733,1.6171,0.5895
Honduras,2005,Female,14.0,5.975,6.1853,1.26,0.5797
Honduras,2005,Male,17.6,7.2629,7.0488,2.603,0.6853
Honduras,2010,Both sexes,14.3,6.0002,6.3604,1.6795,0.2599
Honduras,2010,Female,12.7,5.5834,5.1238,1.6248,0.368
Honduras,2010,Male,16.0,6.8062,6.7354,2.2867,0.1717
Honduras,2015,Both sexes,14.0,6.042,5.9728,1.7806,0.2046
Honduras,2015,Female,12.2,4.9671,5.3022,1.7081,0.2226
Honduras,2015,Male,16.0,6.8845,6.4938,2.2459,0.3758
Honduras,2020,Both sexes,14.0,5.891,5.9003,1.7658,0.4429
Honduras,2020,Female,12.1,5.1426,5.0892,1.3259,0.5423
Honduras,2020,Male,16.1,7.0006,7.0052,1.8226,0.2716
Honduras,2025,Both sexes,14.2973,5.9635,6.0671,1.8172,0.4495
Honduras,2025,Female,12.3759,5.2394,5.2139,1.3643,0.5583
Honduras,2025,Male,16.437,7.1679,7.1489,1.845,0.2752
Hungary,2000,Both sexes,28.1,11.3334,12.317,3.5126,0.937
Hungary,2000,Female,19.1,8.1347,7.774,2.4875,0.7038
Hungary,2000,Male,38.1,16.7296,16.6721,3.429,1.2693
Hungary,2005,Both sexes,26.7,11.6262,10.6912,3.8832,0.4994
Hungary,2005,Female,17.7,7.792,7.7639,1.593,0.5511
Hungary,2005,Male,36.7,15.8942,15.5681,4.8629,0.3748
Hungary,2010,Both sexes,24.2,10.0686,9.9463,3.6038,0.5813
Hungary,2010,Female,16.2,6.856,7.0654,1.691,0.5876
Hungary,2010,Male,33.0,13.8147,13.3134,5.0541,0.8178
Hungary,2015,Both sexes,23.3,10.4478,9.3975,2.6174,0.8373
Hungary,2015,Female,16.5,6.9576,7.4227,1.5857,0.534
Hungary,2015,Male,31.0,12.5149,12.982,4.1964,1.3067
Hungary,2020,Both sexes,23.0,9.2871,9.646,3.0977,0.9692
Hungary,2020,Female,15.6,6.9243,6.5437,1.6379,0.4941
Hungary,2020,Male,31.1,13.8423,12.7564,4.107,0.3943
Hungary,2025,Both sexes,23.5471,9.5555,9.8266,3.1741,0.9909
Hungary,2025,Female,15.9141,7.0826,6.6537,1.6754,0.5024
Hungary,2025,Male,31.671,14.0199,13.0447,4.2004,0.406
Iceland,2000,Both sexes,13.4,5.5774,5.5406,2.0457,0.2363
Iceland,2000,Female,11.4,4.7108,4.9373,1.2662,0.4857
Iceland,2000,Male,15.4,6.6949,6.3284,1.856,0.5207
Iceland,2005,Both sexes,11.8,4.9459,5.2049,1.22,0.4292
Iceland,2005,Female,9.8,4.0494,4.3801,1.023,0.3475
Iceland,2005,Male,13.9,6.1134,5.749,1.5137,0.5239
Iceland,2010,Both sexes,9.8,4.0738,4.0383,1.5056,0.1823
Iceland,2010,Female,7.7,3.1523,3.1096,1.1466,0.2915
Iceland,2010,Male,11.8,4.9707,5.2556,1.2164,0.3573
Iceland,2015,Both sexes,9.3,4.0242,4.1334,0.837,0.3054
Iceland,2015,Female,8.2,3.5737,3.3911,1.0869,0.1483
Iceland,2015,Male,10.2,4.4025,4.1598,1.3423,0.2954
Iceland,2020,Both sexes,9.1,3.9223,3.9777,1.0471,0.1529
Iceland,2020,Female,8.2,3.6524,3.5911,0.738,0.2185
Iceland,2020,Male,9.9,4.0565,4.4008,1.0467,0.396
Iceland,2025,Both sexes,9.2644,3.9915,4.0414,1.0749,0.1566
Iceland,2025,Female,8.3504,3.713,3.6628,0.7528,0.2218
Iceland,2025,Male,10.1315,4.1747,4.4957,1.0594,0.4017
India,2000,Both sexes,26.6,10.813,10.6698,4.4677,0.6495
India,2000,Female,23.4,10.1256,9.6315,3.3955,0.2474
India,2000,Male,29.7,13.0439,12.7208,3.2668,0.6685
India,2005,Both sexes,25.1,11.2936,10.4499,2.3543,1.0022
India,2005,Female,22.3,9.1893,8.965,3.556,0.5897
India,2005,Male,27.9,12.2853,12.3569,2.511,0.7468
India,2010,Both sexes,24.2,10.0736,10.7702,2.178,1.1782
India,2010,Female,21.2,9.0913,8.5513,3.2649,0.2925
India,2010,Male,27.1,11.9584,11.9848,2.6158,0.541
India,2015,Both sexes,23.5,9.4396,10.433,3.1636,0.4638
India,2015,Female,20.0,8.323,8.8979,1.8686,0.9105
India,2015,Male,26.8,11.4668,10.7722,3.5781,0.9829
India,2020,Both sexes,23.3,10.2264,10.2064,2.4593,0.4079
India,2020,Female,19.8,8.348,7.9508,3.0976,0.4036
India,2020,Male,26.7,10.798,11.6131,3.6285,0.6604
India,2025,Both sexes,23.8867,10.5255,10.4268,2.5182,0.4162
India,2025,Female,20.1545,8.4766,8.0887,3.1802,0.409
India,2025,Male,27.2751,11.1007,11.7958,3.7074,0.6712
Indonesia,2000,Both sexes,26.3,11.178,11.4285,2.6971,0.9964
Indonesia,2000,Female,23.7,10.2336,10.1902,2.8692,0.407
Indonesia,2000,Male,29.1,12.5838,12.0405,4.0029,0.4728
