application_number,sponsor_name,brand_name,dosage_form,route,marketing_status,prescription,price_per_dose
NDA204819,BAYER HLTHCARE,ADEMPAS,TABLET,ORAL,Prescription,other,895.47
ANDA204821,PRINSTON INC,VALSARTAN,TABLET,ORAL,Prescription,hepatitis,2821.71
ANDA204827,ALKEM LABS LTD,FESOTERODINE FUMARATE,"TABLET, EXTENDED RELEASE",ORAL,Prescription,other,292.89
ANDA204828,NOVEL LABS INC,POTASSIUM CHLORIDE,"CAPSULE, EXTENDED RELEASE",ORAL,Prescription,chronic respiratory,3726.04
ANDA204829,PHARMOBEDIENT,CYANOCOBALAMIN,INJECTABLE,INJECTION,Prescription,diabetes,125.87
NDA019466,HOSPIRA,DEXTROSE 5% IN PLASTIC CONTAINER,INJECTABLE,INJECTION,Prescription,other,162.97
ANDA204839,AMNEAL PHARMS,LACOSAMIDE,SOLUTION,ORAL,Discontinued,other,577.24
ANDA204853,NOVAST LABS,INDOMETHACIN,"CAPSULE, EXTENDED RELEASE",ORAL,Prescription,diabetes,186.71
ANDA204883,RUBICON RESEARCH,SILDENAFIL CITRATE,TABLET,ORAL,Prescription,other,842.78
ANDA204910,CAPLIN,PARICALCITOL,SOLUTION,INTRAVENOUS,Prescription,other,587.22
ANDA204927,NATCO PHARMA USA,ETOPOSIDE,INJECTABLE,INJECTION,Discontinued,hepatitis,1916.56
ANDA204934,MACLEODS PHARMS LTD,NIACIN,"TABLET, EXTENDED RELEASE",ORAL,Prescription,infc respiratory,480.54
ANDA204946,ZYDUS PHARMS,FESOTERODINE FUMARATE,"TABLET, EXTENDED RELEASE",ORAL,Prescription,other,470.18
ANDA204950,PH HEALTH,GANCICLOVIR SODIUM,INJECTABLE,INJECTION,Prescription,diabetes,162.81
ANDA204954,STRIDES PHARMA,METHYLPHENIDATE HYDROCHLORIDE,"TABLET, CHEWABLE",ORAL,Discontinued,chronic respiratory,1833.35
ANDA204972,ACTAVIS ELIZABETH,TAPENTADOL,"TABLET, EXTENDED RELEASE",ORAL,None (Tentative Approval),ETS,1215.46
NDA019485,ABBOTT,LACTATED RINGER'S IN PLASTIC CONTAINER,INJECTABLE,INJECTION,Discontinued,other,931.45
ANDA205011,ACCORD HLTHCARE,LACOSAMIDE,TABLET,ORAL,Discontinued,diabetes,173.23
ANDA205034,AMNEAL PHARMS,VORICONAZOLE,FOR SUSPENSION,ORAL,Prescription,other,638.64
ANDA205046,HIKMA,DEXMEDETOMIDINE HYDROCHLORIDE,INJECTABLE,INJECTION,Prescription,diabetes,70.52
ANDA205075,GLENMARK PHARMS LTD,RUFINAMIDE,TABLET,ORAL,Prescription,cardiovascular,1491.84
ANDA205112,TARO,"BROMPHENIRAMINE MALEATE, PSEUDOEPHEDRINE HYDROCHLORIDE AND DEXTROMETHORPHAN HYDROBROMIDE",SYRUP,ORAL,Discontinued,cancer,10501.32
ANDA205128,ACTAVIS LABS UT INC,CLINDAMYCIN PHOSPHATE AND BENZOYL PEROXIDE,GEL,TOPICAL,Prescription,diabetes,142.44
ANDA205151,PHARMOBEDIENT,VALGANCICLOVIR HYDROCHLORIDE,TABLET,ORAL,Discontinued,tuberculosis,622.04
ANDA205152,MYLAN,ELETRIPTAN HYDROBROMIDE,TABLET,ORAL,Prescription,other,842.78
ANDA205197,TEVA PHARMS USA INC,PLERIXAFOR,SOLUTION,SUBCUTANEOUS,Discontinued,diabetes,198.94
ANDA205199,APOTEX,AMLODIPINE BESYLATE AND ATORVASTATIN CALCIUM,TABLET,ORAL,Prescription,chronic respiratory,1863.42
NDA205223,CHEMO RESEARCH SL,NUVESSA,GEL,VAGINAL,Prescription,cancer,45476.25
ANDA205239,EUGIA PHARMA SPECLTS,DANTROLENE SODIUM,INJECTABLE,INJECTION,Discontinued,diabetes,156.75
ANDA205249,ZYDUS LIFESCIENCES,CLOBETASOL PROPIONATE,LOTION,TOPICAL,Prescription,other,937.22
ANDA205280,ORBION PHARMS,RISEDRONATE SODIUM,TABLET,ORAL,Prescription,tuberculosis,4475.76
ANDA205307,WATSON LABS INC,PROPOFOL,INJECTABLE,INJECTION,Discontinued,cancer,5947.66
ANDA205328,ACTAVIS LABS UT INC,TESTOSTERONE,"SOLUTION, METERED",TRANSDERMAL,Prescription,cancer,17073.37
ANDA205336,AVET LIFESCIENCES,DIPHENHYDRAMINE HYDROCHLORIDE,INJECTABLE,INJECTION,Prescription,chronic respiratory,3785.26
ANDA205366,PH HEALTH,LEVOTHYROXINE SODIUM,POWDER,INTRAVENOUS,Discontinued,cardiovascular,6904.49
NDA205383,INTERPHARMA PRAHA AS,ORALTAG,FOR SOLUTION,ORAL,Discontinued,chronic respiratory,709.43
ANDA205385,PHARMOBEDIENT,FEBUXOSTAT,TABLET,ORAL,Discontinued,cancer,50306.05
NDA205388,RAYNER SURGICAL,OMIDRIA,SOLUTION,IRRIGATION,Prescription,infc respiratory,3915.03
NDA205389,MICRO LABS LTD INDIA,EFAVIRENZ,TABLET,ORAL,None (Tentative Approval),diabetes,82.82
ANDA205391,AUROBINDO PHARMA,OLMESARTAN MEDOXOMIL AND HYDROCHLOROTHIAZIDE,TABLET,ORAL,Prescription,other,871.42
NDA205410,ETON,HEMANGEOL,SOLUTION,ORAL,Prescription,hepatitis,312.21
ANDA205444,ACTAVIS LABS FL INC,OXCARBAZEPINE,"TABLET, EXTENDED RELEASE",ORAL,None (Tentative Approval),other,782.41
ANDA205447,BRECKENRIDGE,BENDAMUSTINE HYDROCHLORIDE,POWDER,INTRAVENOUS,Discontinued,other,616.2
ANDA205490,PERRIGO R AND D,CETIRIZINE HYDROCHLORIDE ALLERGY,"TABLET, ORALLY DISINTEGRATING",ORAL,Over-the-counter,other,315.88
ANDA205497,AUROBINDO PHARMA LTD,NAPROXEN SODIUM,TABLET,ORAL,Over-the-counter,HIV,3618.62
ANDA205513,STRIDES PHARMA,CARISOPRODOL,TABLET,ORAL,Discontinued,other,782.58
ANDA205544,RISING,NATEGLINIDE,TABLET,ORAL,Prescription,other,933.97
NDA205555,NOVATECH SA,STERITALC,POWDER,INTRAPLEURAL,Prescription,hepatitis,1870.48
ANDA205559,DR REDDYS,PALIPERIDONE,"TABLET, EXTENDED RELEASE",ORAL,Prescription,other,686.33
NDA205580,EAGLE PHARMS,BELRAPZO,SOLUTION,INTRAVENOUS,Prescription,cancer,60341.1
ANDA205585,ZYDUS LIFESCIENCES,PIROXICAM,CAPSULE,ORAL,Prescription,chronic respiratory,2649.77
NDA205596,MERCK SHARP DOHME,NOXAFIL,SOLUTION,INTRAVENOUS,Discontinued,cardiovascular,8909.64
ANDA205620,ZYDUS LIFESCIENCES,DESOXIMETASONE,CREAM,TOPICAL,Prescription,diabetes,50.48
ANDA205675,EUGIA PHARMA,PANTOPRAZOLE SODIUM,INJECTABLE,INTRAVENOUS,Prescription,other,282.83
NDA205677,VANDA PHARMS INC,HETLIOZ,CAPSULE,ORAL,Prescription,diabetes,130.74
ANDA205710,CIPLA,BUDESONIDE,SUSPENSION,INHALATION,Prescription,other,179.11
NDA205755,NOVARTIS,ZYKADIA,CAPSULE,ORAL,Discontinued,cardiovascular,9083.27
ANDA205758,HIKMA,MORPHINE SULFATE,INJECTABLE,INJECTION,Prescription,other,647.95
NDA205765,LINDE NORTH AMERICA INC,"MEDICAL AIR, USP",GAS,INHALATION,Prescription,cancer,47892.72
NDA205766,LINDE NORTH AMERICA INC,"NITROGEN, NF",GAS,INHALATION,Prescription,infc respiratory,4082.77
ANDA205794,SCIEGEN PHARMS,BUPROPION HYDROCHLORIDE,"TABLET, EXTENDED RELEASE",ORAL,Prescription,diabetes,117.63
ANDA205806,DR REDDYS LABS SA,BUPRENORPHINE HYDROCHLORIDE AND NALOXONE HYDROCHLORIDE,FILM,"BUCCAL, SUBLINGUAL",Prescription,tuberculosis,2815.33
NDA205851,PRAXAIR INC,"HELIUM, USP",GAS,INHALATION,Discontinued,cancer,474.55
NDA205889,MATHESON TRI-GAS INC,"OXYGEN, USP",GAS,INHALATION,Prescription,cancer,36696.91
NDA019583,SMITHKLINE BEECHAM,RELAFEN,TABLET,ORAL,Discontinued,diabetes,70.82
NDA205891,MATHESON TRI-GAS INC,"NITROGEN, NF",GAS,INHALATION,Prescription,other,690.0
ANDA205897,PANACEA,PRASUGREL,TABLET,ORAL,Prescription,cancer,48006.89
ANDA205950,HERITAGE PHARMA AVET,TRIMETHOBENZAMIDE HYDROCHLORIDE,CAPSULE,ORAL,Prescription,other,302.46
ANDA205955,SAWAI USA,PITAVASTATIN CALCIUM,TABLET,ORAL,Prescription,other,468.36
ANDA205991,ACCORD HLTHCARE,ITRACONAZOLE,CAPSULE,ORAL,Discontinued,chronic respiratory,1087.67
ANDA206003,NOVEL LABS INC,FLUOCINONIDE,SOLUTION,TOPICAL,Prescription,hepatitis,4629.18
ANDA206021,HEC PHARM,PRASUGREL,TABLET,ORAL,Prescription,diabetes,58.1
NDA206024,AIRGAS USA LLC,"NITROGEN, NF",GAS,INHALATION,Prescription,other,865.55
ANDA206039,EXELA PHARMA,MAGNESIUM SULFATE,SOLUTION,"INTRAMUSCULAR, INTRAVENOUS",Discontinued,cancer,51233.61
ANDA206071,NAVINTA LLC,METHOCARBAMOL,SOLUTION,IM-IV,Discontinued,other,619.33
NDA206111,BOEHRINGER INGELHEIM,SYNJARDY,TABLET,ORAL,Prescription,chronic respiratory,1547.9
ANDA206119,PH HEALTH,TOLVAPTAN,TABLET,ORAL,Prescription,other,966.73
ANDA206129,SUN PHARM,TETRABENAZINE,TABLET,ORAL,Discontinued,cardiovascular,2854.42
ANDA206135,APOTEX,MEMANTINE HYDROCHLORIDE,"CAPSULE, EXTENDED RELEASE",ORAL,Discontinued,other,589.29
ANDA206159,PH HEALTH,"DEXTROAMP SACCHARATE, AMP ASPARTATE, DEXTROAMP SULFATE AND AMP SULFATE","CAPSULE, EXTENDED RELEASE",ORAL,Discontinued,other,993.42
NDA206162,ASTRAZENECA,LYNPARZA,CAPSULE,ORAL,Discontinued,other,881.21
ANDA206200,AMNEAL PHARMS,BUDESONIDE,"CAPSULE, DELAYED RELEASE",ORAL,Prescription,diabetes,130.45
NDA206255,GALDERMA LABS LP,SOOLANTRA,CREAM,TOPICAL,Prescription,other,990.38
NDA206307,FONSECA BIOSCIENCES,XTORO,SUSPENSION/DROPS,OTIC,Discontinued,other,701.67
ANDA206319,DECATUR,CHOLINE C-11,INJECTABLE,INTRAVENOUS,Prescription,other,209.49
NDA019638,ORGANON USA INC,ARDUAN,INJECTABLE,INJECTION,Discontinued,diabetes,110.84
NDA206334,MELINTA THERAP,ORBACTIV,POWDER,INTRAVENOUS,Prescription,cancer,33582.43
NDA206353,BRISTOL,EVOTAZ,TABLET,ORAL,Prescription,cardiovascular,3472.94
ANDA206358,FDC LTD,CEFIXIME,TABLET,ORAL,Prescription,tuberculosis,3814.26
ANDA206382,SCIEGEN PHARMS,LAMOTRIGINE,"TABLET, ORALLY DISINTEGRATING",ORAL,Prescription,cancer,58509.44
ANDA206387,IPCA LABS LTD,ALENDRONATE SODIUM,TABLET,ORAL,Prescription,other,39.05
ANDA206433,AUROBINDO PHARMA,CLOZAPINE,TABLET,ORAL,Prescription,other,877.57
NDA019649,SUN PHARM INDS INC,FLUMADINE,TABLET,ORAL,Discontinued,other,297.5
ANDA206463,AMNEAL,LIDOCAINE,PATCH,TOPICAL,Prescription,other,997.08
NDA019651,APIL,ASACOL,"TABLET, DELAYED RELEASE",ORAL,Discontinued,chronic respiratory,4773.24
ANDA206516,ACTAVIS LLC,LEVOLEUCOVORIN CALCIUM,POWDER,INTRAVENOUS,Discontinued,other,940.59
ANDA206524,SUNSHINE,AMLODIPINE BESYLATE,TABLET,ORAL,Discontinued,cardiovascular,8120.72
ANDA206536,ZYDUS PHARMS,ATORVASTATIN CALCIUM,TABLET,ORAL,Prescription,other,221.39
NDA206544,OHEMO LIFE,MORPHABOND ER,"TABLET, EXTENDED RELEASE",ORAL,Discontinued,other,533.1
ANDA206553,APPCO,CYPROHEPTADINE HYDROCHLORIDE,TABLET,ORAL,Prescription,HIV,1160.3
ANDA206556,INVAGEN PHARMS,BUPROPION HYDROCHLORIDE,"TABLET, EXTENDED RELEASE",ORAL,Discontinued,other,260.42
ANDA206557,INVAGEN PHARMS,SIMVASTATIN,TABLET,ORAL,Prescription,cancer,61172.99
ANDA206560,CADILA,METRONIDAZOLE,TABLET,ORAL,Prescription,other,41.79
NDA019667,NOVARTIS,SANDOSTATIN,INJECTABLE,INJECTION,Discontinued,cancer,96951.96
ANDA206588,NESHER PHARMS,DEXTROAMPHETAMINE SULFATE,TABLET,ORAL,Discontinued,cardiovascular,9190.8
ANDA206617,HIKMA INTL PHARMS,GEMCITABINE HYDROCHLORIDE,INJECTABLE,INJECTION,Discontinued,cardiovascular,3838.64
ANDA206623,DR REDDYS LABS SA,BUDESONIDE,"CAPSULE, DELAYED RELEASE",ORAL,Prescription,diabetes,127.31
NDA019670,BAYER HEALTHCARE LLC,CLARITIN-D,"TABLET, EXTENDED RELEASE",ORAL,Over-the-counter,cancer,46718.72
ANDA206653,PRINSTON INC,DULOXETINE HYDROCHLORIDE,"CAPSULE, DELAYED REL PELLETS",ORAL,Prescription,chronic respiratory,4416.89
ANDA206657,ACTAVIS LABS UT INC,TAPENTADOL HYDROCHLORIDE,SOLUTION,ORAL,None (Tentative Approval),tuberculosis,3458.58
ANDA206686,ACTAVIS LABS FL INC,TETRABENAZINE,TABLET,ORAL,Prescription,cancer,27955.5
ANDA206693,ZYDUS PHARMS,TADALAFIL,TABLET,ORAL,Prescription,diabetes,117.03
BLA019676,GENENTECH,NUTROPIN,Injectable,Injection,Prescription,tuberculosis,2173.38
ANDA206697,AMNEAL,EXENATIDE SYNTHETIC,INJECTABLE,SUBCUTANEOUS,Prescription,other,959.38
NDA019677,PHARMOBEDIENT,ENLON-PLUS,INJECTABLE,INJECTION,Discontinued,other,176.14
ANDA206738,PURACAP PHARM LLC,PIOGLITAZONE HYDROCHLORIDE,TABLET,ORAL,Prescription,cardiovascular,941.28
ANDA206747,CADILA,VORICONAZOLE,TABLET,ORAL,Prescription,other,880.74
ANDA206768,AUROBINDO PHARMA,RISEDRONATE SODIUM,TABLET,ORAL,Prescription,chronic respiratory,4488.6
ANDA206778,GLAND,ADENOSINE,INJECTABLE,INJECTION,Prescription,cancer,87199.56
ANDA206781,EUGIA PHARMA,DEXAMETHASONE SODIUM PHOSPHATE,INJECTABLE,INJECTION,Discontinued,diabetes,126.65
ANDA206792,NOVEL LABS INC,DESOXIMETASONE,OINTMENT,TOPICAL,Prescription,cancer,66042.49
ANDA206817,AUROBINDO PHARMA,SOLIFENACIN SUCCINATE,TABLET,ORAL,Prescription,cancer,56423.63
NDA019685,OTSUKA ICU MEDCL,POTASSIUM CHLORIDE 10MEQ IN DEXTROSE 5% AND LACTATED RINGER'S IN PLASTIC CONTAINER,INJECTABLE,INJECTION,Discontinued,ETS,393.77
NDA019685,OTSUKA ICU MEDCL,POTASSIUM CHLORIDE 30MEQ IN DEXTROSE 5% AND LACTATED RINGER'S IN PLASTIC CONTAINER,INJECTABLE,INJECTION,Discontinued,ETS,2999.38
NDA019685,OTSUKA ICU MEDCL,POTASSIUM CHLORIDE 5MEQ IN DEXTROSE 5% AND LACTATED RINGER'S IN PLASTIC CONTAINER,INJECTABLE,INJECTION,Discontinued,other,14.6
NDA019685,OTSUKA ICU MEDCL,POTASSIUM CHLORIDE 20MEQ IN DEXTROSE 5% AND LACTATED RINGER'S IN PLASTIC CONTAINER,INJECTABLE,INJECTION,Discontinued,other,325.66
NDA019685,OTSUKA ICU MEDCL,POTASSIUM CHLORIDE 40MEQ IN DEXTROSE 5% AND LACTATED RINGER'S IN PLASTIC CONTAINER,INJECTABLE,INJECTION,Discontinued,cardiovascular,9326.31
NDA019685,OTSUKA ICU MEDCL,POTASSIUM CHLORIDE 15MEQ IN DEXTROSE 5% AND LACTATED RINGER'S IN PLASTIC CONTAINER,INJECTABLE,INJECTION,Discontinued,other,304.74
ANDA206863,ACCORD HLTHCARE,DALFAMPRIDINE,"TABLET, EXTENDED RELEASE",ORAL,Prescription,chronic respiratory,4702.14
ANDA206867,AUROBINDO PHARMA,ATHENTIA NEXT,TABLET,ORAL,Over-the-counter,diabetes,87.52
ANDA206887,MACLEODS PHARMS LTD,IBANDRONATE SODIUM,TABLET,ORAL,Prescription,cardiovascular,3179.89
ANDA206901,SUN PHARMA CANADA,NAFTIFINE HYDROCHLORIDE,CREAM,TOPICAL,Prescription,cardiovascular,6302.65
ANDA206906,AUROBINDO PHARMA,AMLODIPINE AND OLMESARTAN MEDOXOMIL,TABLET,ORAL,Prescription,cancer,76210.37
NDA019696,B BRAUN,ISOLYTE S PH 7.4 IN PLASTIC CONTAINER,INJECTABLE,INJECTION,Prescription,cardiovascular,5038.81
ANDA206939,AJENAT PHARMS,CEFIXIME,FOR SUSPENSION,ORAL,Prescription,other,882.23
ANDA206960,AMNEAL,NAFTIFINE HYDROCHLORIDE,CREAM,TOPICAL,Discontinued,other,41.2
NDA206966,HATCHTECH,XEGLYZE,LOTION,TOPICAL,Discontinued,chronic respiratory,4614.86
ANDA206983,X-GEN PHARMS INC,PENTAMIDINE ISETHIONATE,FOR SOLUTION,INHALATION,Prescription,other,197.11
ANDA207018,UNICHEM,IRBESARTAN AND HYDROCHLOROTHIAZIDE,TABLET,ORAL,Discontinued,ETS,4426.98
ANDA207022,HETERO LABS LTD V,MYCOPHENOLATE MOFETIL,CAPSULE,ORAL,Prescription,cancer,40206.15
NDA207026,VANTIVE US HLTHCARE,PHOXILLUM BK 4/2.5 IN PLASTIC CONTAINER,INJECTABLE,INJECTION,Prescription,other,832.92
NDA207026,VANTIVE US HLTHCARE,PHOXILLUM B22K 4/0 IN PLASTIC CONTAINER,INJECTABLE,INJECTION,Prescription,tuberculosis,3374.74
ANDA207035,HERITAGE,ACETAMINOPHEN,"TABLET, EXTENDED RELEASE",ORAL,Discontinued,chronic respiratory,920.91
ANDA207037,ALKEM LABS LTD,OLMESARTAN MEDOXOMIL AND HYDROCHLOROTHIAZIDE,TABLET,ORAL,Prescription,other,918.13
NDA207070,BOEHRINGER INGELHEIM,SPIRIVA RESPIMAT,SPRAY,INHALATION,Prescription,cardiovascular,2492.9
ANDA207094,SCIEGEN PHARMS,TRIAMCINOLONE ACETONIDE,SPRAY,TOPICAL,Prescription,cardiovascular,2479.19
ANDA207105,ALKEM LABS LTD,ARIPIPRAZOLE,TABLET,ORAL,Prescription,other,814.36
ANDA207110,WATSON LABS INC,BOSENTAN,TABLET,ORAL,Prescription,other,106.77
ANDA207147,WOCKHARDT BIO AG,OXACILLIN SODIUM,INJECTABLE,INJECTION,Prescription,other,222.81
ANDA207224,ANBISON LAB,BUPROPION HYDROCHLORIDE,"TABLET, EXTENDED RELEASE",ORAL,Prescription,infc respiratory,2543.2
ANDA207236,LANNETT CO INC,MEMANTINE HYDROCHLORIDE,TABLET,ORAL,Discontinued,other,830.65
ANDA207243,HIKMA,AZELASTINE HYDROCHLORIDE,"SPRAY, METERED",NASAL,Discontinued,chronic respiratory,780.05
ANDA207285,CHARTWELL RX,MOXIFLOXACIN HYDROCHLORIDE,TABLET,ORAL,Prescription,cardiovascular,5499.3
ANDA207341,BPI LABS,ZOLEDRONIC ACID,INJECTABLE,INTRAVENOUS,Prescription,cancer,71181.81
ANDA207367,RISING,BUDESONIDE,"CAPSULE, DELAYED RELEASE",ORAL,Prescription,tuberculosis,4309.95
ANDA207370,AUROBINDO PHARMA LTD,AZITHROMYCIN,TABLET,ORAL,Prescription,other,935.63
ANDA207372,AMNEAL PHARMS,NITROFURANTOIN (MONOHYDRATE/MACROCRYSTALS),CAPSULE,ORAL,Discontinued,cancer,78507.06
ANDA207380,PADAGIS ISRAEL,NYSTATIN AND TRIAMCINOLONE ACETONIDE,OINTMENT,TOPICAL,Prescription,chronic respiratory,3281.5
ANDA207388,ALVOGEN,"DEXTROAMP SACCHARATE, AMP ASPARTATE, DEXTROAMP SULFATE AND AMP SULFATE",TABLET,ORAL,Prescription,other,434.19
ANDA207401,MICRO LABS LTD INDIA,ACETAZOLAMIDE,"CAPSULE, EXTENDED RELEASE",ORAL,Prescription,cancer,11388.59
ANDA207416,ASCENT PHARMS INC,METHYLPHENIDATE HYDROCHLORIDE,TABLET,ORAL,Prescription,other,710.03
ANDA207440,RISING,DIFLORASONE DIACETATE,OINTMENT,TOPICAL,Prescription,diabetes,198.91
ANDA207442,SOMERSET THERAPS LLC,DEXAMETHASONE SODIUM PHOSPHATE PRESERVATIVE FREE,INJECTABLE,INJECTION,Prescription,cancer,73728.71
ANDA207446,CIPLA,CELECOXIB,CAPSULE,ORAL,Prescription,other,17.69
ANDA207453,CADILA PHARMS LTD,ROSUVASTATIN CALCIUM,TABLET,ORAL,Prescription,other,496.76
ANDA207457,AUROBINDO PHARMA LTD,SUMATRIPTAN AND NAPROXEN SODIUM,TABLET,ORAL,Prescription,diabetes,142.2
ANDA207471,MICRO LABS,AMOXICILLIN,CAPSULE,ORAL,Prescription,other,689.98
ANDA207475,ACCORD HLTHCARE,AZACITIDINE,POWDER,"INTRAVENOUS, SUBCUTANEOUS",Prescription,cardiovascular,7211.27
ANDA207476,SCIEGEN PHARMS,OMEPRAZOLE AND SODIUM BICARBONATE,CAPSULE,ORAL,Prescription,other,558.55
NDA019776,FERRING,CONCENTRAID,SOLUTION,NASAL,Discontinued,chronic respiratory,1155.63
ANDA207488,ABHAI LLC,METHYLPHENIDATE HYDROCHLORIDE,"TABLET, EXTENDED RELEASE",ORAL,Prescription,infc respiratory,4713.89
ANDA207506,AUROBINDO PHARMA,AUROVELA 1/20,TABLET,ORAL-21,Prescription,other,696.97
ANDA207516,HANGZHOU BINJIANG,RISEDRONATE SODIUM,TABLET,ORAL,Discontinued,other,237.6
ANDA207580,AUROBINDO PHARMA,AUROVELA FE 1.5/30,TABLET,ORAL-28,Prescription,cardiovascular,3257.1
ANDA207587,MPP PHARMA,METHYLPHENIDATE HYDROCHLORIDE,TABLET,ORAL,Discontinued,other,922.01
ANDA207610,EPIC PHARMA LLC,AZELASTINE HYDROCHLORIDE,"SPRAY, METERED",NASAL,Prescription,other,887.6
ANDA207634,SOMERSET THERAPS LLC,NALOXONE HYDROCHLORIDE,INJECTABLE,INJECTION,Prescription,diabetes,110.77
NDA207648,FRESENIUS KABI USA,SMOFLIPID 20%,EMULSION,INTRAVENOUS,Prescription,other,39.27
ANDA207676,DR REDDYS LABS SA,"BROMPHENIRAMINE MALEATE, PSEUDOEPHEDRINE HYDROCHLORIDE AND DEXTROMETHORPHAN HYDROBROMIDE",SYRUP,ORAL,Prescription,infc respiratory,290.06
ANDA207677,TORRENT,CELECOXIB,CAPSULE,ORAL,Prescription,cancer,28535.05
ANDA207681,ALEMBIC,DARIFENACIN HYDROBROMIDE,"TABLET, EXTENDED RELEASE",ORAL,Prescription,diabetes,144.37
ANDA207687,ACCORD HLTHCARE,ATORVASTATIN CALCIUM,TABLET,ORAL,Prescription,other,584.61
ANDA207709,AUROLIFE PHARMA LLC,HYDROCODONE BITARTRATE AND ACETAMINOPHEN,TABLET,ORAL,Prescription,ETS,3187.45
ANDA207714,APOTEX,DICLOFENAC SODIUM,SOLUTION,TOPICAL,Prescription,chronic respiratory,3600.55
NDA009048,VALEANT PHARM INTL,8-MOP,CAPSULE,ORAL,Discontinued,chronic respiratory,144.21
NDA009048,VALEANT PHARM INTL,OXSORALEN,LOTION,TOPICAL,Discontinued,other,105.98
ANDA207742,AM REGENT,TESTOSTERONE CYPIONATE,INJECTABLE,INJECTION,Prescription,other,360.12
ANDA207761,ZYDUS PHARMS,NADOLOL,TABLET,ORAL,Prescription,other,155.71
ANDA207765,ZYDUS PHARMS,COLESEVELAM HYDROCHLORIDE,TABLET,ORAL,Prescription,hepatitis,422.83
NDA019807,SANOFI AVENTIS US,KERLEDEX,TABLET,ORAL,Discontinued,other,641.32
NDA207795,BAUSCH AND LOMB,VYZULTA,SOLUTION/DROPS,OPHTHALMIC,Prescription,HIV,4085.92
ANDA207796,MACLEODS PHARMS LTD,FENOFIBRIC ACID,"CAPSULE, DELAYED RELEASE",ORAL,Discontinued,cancer,75312.14
ANDA207806,PRINSTON INC,PIOGLITAZONE HYDROCHLORIDE,TABLET,ORAL,Prescription,cancer,81740.57
ANDA207807,GLENMARK PHARMS LTD,AMLODIPINE AND OLMESARTAN MEDOXOMIL,TABLET,ORAL,Discontinued,diabetes,149.88
ANDA207884,NOVEL LABS INC,METHYLPHENIDATE HYDROCHLORIDE,TABLET,ORAL,Prescription,chronic respiratory,3689.96
ANDA207903,SUN PHARM,IPRATROPIUM BROMIDE,SOLUTION,INHALATION,Discontinued,other,272.51
ANDA207919,DR REDDYS,ACYCLOVIR SODIUM,INJECTABLE,INJECTION,Discontinued,chronic respiratory,4965.39
NDA019817,BOEHRINGER INGELHEIM,IV PERSANTINE,INJECTABLE,INJECTION,Discontinued,other,183.98
NDA207925,VERTEX PHARMS INC,KALYDECO,GRANULE,ORAL,Prescription,chronic respiratory,1111.74
ANDA207938,FLAMINGO PHARMS,PIROXICAM,CAPSULE,ORAL,Discontinued,other,289.63
ANDA207955,MYLAN,TRETINOIN,GEL,TOPICAL,Prescription,cancer,97538.18
ANDA207961,HETERO LABS LTD III,DABIGATRAN ETEXILATE MESYLATE,CAPSULE,ORAL,Prescription,cancer,98831.2
ANDA207983,AUROBINDO PHARMA LTD,FINGOLIMOD HYDROCHLORIDE,CAPSULE,ORAL,Prescription,other,795.1
NDA208019,GENUS,POKONZA,FOR SOLUTION,ORAL,Prescription,other,629.43
NDA208019,GENUS,POTASSIUM CHLORIDE,FOR SOLUTION,ORAL,Prescription,other,520.54
NDA208032,ST RENATUS,KOVANAZE,"SPRAY, METERED",NASAL,Prescription,cardiovascular,9707.68
ANDA208040,ALKEM LABS LTD,DABIGATRAN ETEXILATE MESYLATE,CAPSULE,ORAL,Prescription,other,695.93
ANDA208047,DR REDDYS,LURASIDONE HYDROCHLORIDE,TABLET,ORAL,Prescription,other,944.79
NDA208056,TAKEDA PHARMS USA,DEXILANT SOLUTAB,"TABLET, ORALLY DISINTEGRATING, DELAYED RELEASE",ORAL,Discontinued,cardiovascular,3199.68
NDA208065,ASTRAZENECA,TAGRISSO,TABLET,ORAL,Prescription,other,334.44
ANDA208066,SUN PHARM,LURASIDONE HYDROCHLORIDE,TABLET,ORAL,Discontinued,ETS,4280.89
ANDA208100,PAI HOLDINGS PHARM,ERYTHROMYCIN,SOLUTION,TOPICAL,Discontinued,other,150.71
ANDA208105,AMNEAL PHARMS CO,DESIPRAMINE HYDROCHLORIDE,TABLET,ORAL,Prescription,chronic respiratory,4732.34
ANDA208108,GLENMARK PHARMS LTD,ADAPALENE AND BENZOYL PEROXIDE,GEL,TOPICAL,Prescription,cancer,50845.94
NDA019837,BAXTER HLTHCARE,BRETYLIUM TOSYLATE IN DEXTROSE 5% IN PLASTIC CONTAINER,INJECTABLE,INJECTION,Discontinued,other,926.49
ANDA208170,RUBICON RESEARCH,CYCLOBENZAPRINE HYDROCHLORIDE,TABLET,ORAL,Prescription,cancer,33811.92
ANDA208173,HIKMA,MEMANTINE HYDROCHLORIDE,TABLET,ORAL,Discontinued,other,716.24
ANDA208181,AMNEAL PHARMS CO,TIAGABINE HYDROCHLORIDE,TABLET,ORAL,Discontinued,cancer,48390.94
ANDA208187,CADILA,TIZANIDINE HYDROCHLORIDE,TABLET,ORAL,Prescription,chronic respiratory,3152.68
ANDA208195,YUNG SHIN PHARM,ENTECAVIR,TABLET,ORAL,Prescription,other,504.87
ANDA208198,AMNEAL,DICLOFENAC SODIUM,SOLUTION,TOPICAL,Prescription,cancer,96718.14
